Country or Area,Year,Commodity,Flow,Trade Amount,Weight (kg),Quantity Name,Quantity
Saudi Arabia,2016,Raw silk (not thrown),Import,86400.108,1000,Weight in kilograms,1000
Saudi Arabia,2016,Woven fabric of noil silk,Import,69333.42,,Weight in kilograms,4504.983358
Saudi Arabia,2016,Woven fabric >85% silk (except noil silk),Import,639734.133,14195.26627,Weight in kilograms,14195.26627
Saudi Arabia,2016,"Woven fabric of silk, nes",Import,1777068.888,461015.6456,Weight in kilograms,461015.6456
Saudi Arabia,2015,Silk yarn (except from waste) not retail,Import,320182.4399,2170,Weight in kilograms,2170
Saudi Arabia,2015,Woven fabric of noil silk,Import,36109.67397,1322,Weight in kilograms,1322
Saudi Arabia,2015,Woven fabric >85% silk (except noil silk),Import,1677727.508,12432,Weight in kilograms,12432
Saudi Arabia,2015,"Woven fabric of silk, nes",Import,1701103.03,135564,Weight in kilograms,135564
Saudi Arabia,2014,Woven fabric of noil silk,Import,631197,2000,Weight in kilograms,2000
Saudi Arabia,2014,Woven fabric >85% silk (except noil silk),Import,982277,22561,Weight in kilograms,22561
Saudi Arabia,2014,"Woven fabric of silk, nes",Import,1583861,72875,Weight in kilograms,72875
Saudi Arabia,2013,Raw silk (not thrown),Import,323200,2000,Weight in kilograms,2000
Saudi Arabia,2013,"Yarn spun from silk waste, not retail",Import,81600,1781,Weight in kilograms,1781
Saudi Arabia,2013,"Silk yarn retail, silk worm gut",Import,65067,35000,Weight in kilograms,35000
Saudi Arabia,2013,Woven fabric >85% silk (except noil silk),Import,1637869,24011,Weight in kilograms,24011
Saudi Arabia,2013,"Woven fabric of silk, nes",Import,1941336,29813,Weight in kilograms,29813
Saudi Arabia,2012,Woven fabric of noil silk,Import,193600,2000,Weight in kilograms,2000
Saudi Arabia,2012,Woven fabric >85% silk (except noil silk),Import,1407202,24193,Weight in kilograms,24193
Saudi Arabia,2012,"Woven fabric of silk, nes",Import,4122938,137909,Weight in kilograms,137909
Saudi Arabia,2011,"Yarn spun from silk waste, not retail",Import,60533,1572,Weight in kilograms,1572
Saudi Arabia,2011,Woven fabric of noil silk,Import,537334,6893,Weight in kilograms,6893
Saudi Arabia,2011,Woven fabric >85% silk (except noil silk),Import,1521335,27032,Weight in kilograms,27032
Saudi Arabia,2011,"Woven fabric of silk, nes",Import,6380008,201636,Weight in kilograms,201636
Saudi Arabia,2010,"Yarn spun from silk waste, not retail",Import,238934,3398,Weight in kilograms,3398
Saudi Arabia,2010,Woven fabric of noil silk,Import,440001,6790,Weight in kilograms,6790
Saudi Arabia,2010,Woven fabric >85% silk (except noil silk),Import,1990402,58000,Weight in kilograms,58000
Saudi Arabia,2010,"Woven fabric of silk, nes",Import,4132805,98413,Weight in kilograms,98413
Saudi Arabia,2010,"Woven fabric of silk, nes",Export,154134,2454,Weight in kilograms,2454
Saudi Arabia,2010,"Woven fabric of silk, nes",Re-Export,154134,2454,Weight in kilograms,2454
Singapore,2018,Raw silk (not thrown),Import,512382.4132,12044.9,Weight in kilograms,12044.9
Singapore,2018,Raw silk (not thrown),Export,512077.9788,10497.15,Weight in kilograms,10497.15
Singapore,2018,Silk yarn (except from waste) not retail,Import,113772.3084,11125.1,Weight in kilograms,11125.1
Singapore,2018,Silk yarn (except from waste) not retail,Export,164772.8757,4486.2,Weight in kilograms,4486.2
Singapore,2018,"Yarn spun from silk waste, not retail",Import,1916.982325,93.3,Weight in kilograms,93.3
Singapore,2018,"Silk yarn retail, silk worm gut",Import,37522.63278,2559.11,Weight in kilograms,2559.11
Singapore,2018,"Silk yarn retail, silk worm gut",Export,535.7371076,83.2,Weight in kilograms,83.2
Singapore,2018,Woven fabric of noil silk,Import,1348482.254,12480.9617,Weight in kilograms,12480.9617
Singapore,2018,Woven fabric of noil silk,Export,1105656.91,6205.292791,Weight in kilograms,6205.292791
Singapore,2018,Woven fabric >85% silk (except noil silk),Import,591903.1066,3993.680089,Weight in kilograms,3993.680089
Singapore,2018,Woven fabric >85% silk (except noil silk),Export,385775.9179,1613.346535,Weight in kilograms,1613.346535
Singapore,2018,"Woven fabric of silk, nes",Import,1345349.01,10048.21288,Weight in kilograms,10048.21288
Singapore,2018,"Woven fabric of silk, nes",Export,1706612.415,6784.127952,Weight in kilograms,6784.127952
Singapore,2017,Raw silk (not thrown),Import,11325.19108,67.06868273,Weight in kilograms,67.06868273
Singapore,2017,Raw silk (not thrown),Export,2009.048386,32,Weight in kilograms,32
Singapore,2017,Silk yarn (except from waste) not retail,Import,371137.7615,16671.26,Weight in kilograms,16671.26
Singapore,2017,Silk yarn (except from waste) not retail,Export,553202.9244,28482.83,Weight in kilograms,28482.83
Singapore,2017,"Yarn spun from silk waste, not retail",Import,162801.7963,9117.62,Weight in kilograms,9117.62
Singapore,2017,"Yarn spun from silk waste, not retail",Export,150377.8515,8000,Weight in kilograms,8000
Singapore,2017,"Silk yarn retail, silk worm gut",Import,53833.07513,3620.26,Weight in kilograms,3620.26
Singapore,2017,"Silk yarn retail, silk worm gut",Export,812.4614865,13,Weight in kilograms,13
Singapore,2017,Woven fabric of noil silk,Import,1810099.549,,Weight in kilograms,20066.13469
Singapore,2017,Woven fabric of noil silk,Export,1111369.039,7391.55845,Weight in kilograms,7391.55845
Singapore,2017,Woven fabric >85% silk (except noil silk),Import,968350.9531,7935.772663,Weight in kilograms,7935.772663
Singapore,2017,Woven fabric >85% silk (except noil silk),Export,537749.4865,2507.759116,Weight in kilograms,2507.759116
Singapore,2017,"Woven fabric of silk, nes",Import,1162272.38,9424.247662,Weight in kilograms,9424.247662
Singapore,2017,"Woven fabric of silk, nes",Export,801161.6765,3803.317,Weight in kilograms,3803.317
Singapore,2016,Silk-worm cocoons suitable for reeling,Export,1128.118665,1,Weight in kilograms,1
Singapore,2016,Raw silk (not thrown),Import,176773.7279,5188,Weight in kilograms,5188
Singapore,2016,Raw silk (not thrown),Export,113480.9177,3144,Weight in kilograms,3144
Singapore,2016,Silk yarn (except from waste) not retail,Import,239881.094,11622.37,Weight in kilograms,11622.37
Singapore,2016,Silk yarn (except from waste) not retail,Export,236251.0743,7252.37,Weight in kilograms,7252.37
Singapore,2016,"Yarn spun from silk waste, not retail",Import,280047.17,56614.05,Weight in kilograms,56614.05
Singapore,2016,"Yarn spun from silk waste, not retail",Export,32328.78188,8001.5,Weight in kilograms,8001.5
Singapore,2016,"Silk yarn retail, silk worm gut",Import,337590.7521,1483,Weight in kilograms,1483
Singapore,2016,"Silk yarn retail, silk worm gut",Export,307938.7434,3314,Weight in kilograms,3314
Singapore,2016,Woven fabric of noil silk,Import,2697059.29,,Weight in kilograms,32121.89516
Singapore,2016,Woven fabric of noil silk,Export,1170932.145,6929.381257,Weight in kilograms,6929.381257
Singapore,2016,Woven fabric >85% silk (except noil silk),Import,2284422.234,18080.21712,Weight in kilograms,18080.21712
Singapore,2016,Woven fabric >85% silk (except noil silk),Export,1192835.604,5737.880002,Weight in kilograms,5737.880002
Singapore,2016,"Woven fabric of silk, nes",Import,1545197.502,12488.42137,Weight in kilograms,12488.42137
Singapore,2016,"Woven fabric of silk, nes",Export,2586779.72,12882.14048,Weight in kilograms,12882.14048
Singapore,2015,Silk-worm cocoons suitable for reeling,Import,4348.170498,1.72,Weight in kilograms,1.72
Singapore,2015,Raw silk (not thrown),Import,15002.8256,295.6,Weight in kilograms,295.6
Singapore,2015,Raw silk (not thrown),Export,1600703.128,23618.3,Weight in kilograms,23618.3
Singapore,2015,Silk yarn (except from waste) not retail,Export,335559.2493,9954.865979,No Quantity,0
Singapore,2015,Silk yarn (except from waste) not retail,Import,176931.6059,6684.89,Weight in kilograms,6684.89
Singapore,2015,"Yarn spun from silk waste, not retail",Import,83955.71311,14017,Weight in kilograms,14017
Singapore,2015,"Yarn spun from silk waste, not retail",Export,16139.57726,65,Weight in kilograms,65
Singapore,2015,"Silk yarn retail, silk worm gut",Import,30894.93395,621.85,Weight in kilograms,621.85
Singapore,2015,"Silk yarn retail, silk worm gut",Export,1077310.96,87799.5,Weight in kilograms,87799.5
Singapore,2015,Woven fabric of noil silk,Import,1832685.822,24762.84036,Weight in kilograms,24762.84036
Singapore,2015,Woven fabric of noil silk,Export,1443404.112,10483.45405,Weight in kilograms,10483.45405
Singapore,2015,Woven fabric >85% silk (except noil silk),Import,3623536.059,29316.61721,Weight in kilograms,29316.61721
Singapore,2015,Woven fabric >85% silk (except noil silk),Export,1731855.388,8536.380072,Weight in kilograms,8536.380072
Singapore,2015,"Woven fabric of silk, nes",Import,1646346.158,13465.83059,Weight in kilograms,13465.83059
Singapore,2015,"Woven fabric of silk, nes",Export,1801805.928,10376.50223,Weight in kilograms,10376.50223
Singapore,2014,Silk-worm cocoons suitable for reeling,Import,3541.813649,3,Weight in kilograms,3
Singapore,2014,Silk-worm cocoons suitable for reeling,Export,6338.659497,55,Weight in kilograms,55
Singapore,2014,Raw silk (not thrown),Import,5504841.555,27098.08,Weight in kilograms,27098.08
Singapore,2014,Raw silk (not thrown),Export,236259.7728,8030,Weight in kilograms,8030
Singapore,2014,Silk yarn (except from waste) not retail,Import,111753.1048,4662.56,Weight in kilograms,4662.56
Singapore,2014,Silk yarn (except from waste) not retail,Export,186659.9794,130838.8,Weight in kilograms,130838.8
Singapore,2014,"Yarn spun from silk waste, not retail",Import,4183.051706,1051.28,Weight in kilograms,1051.28
Singapore,2014,"Yarn spun from silk waste, not retail",Export,822.833337,4006,Weight in kilograms,4006
Singapore,2014,"Silk yarn retail, silk worm gut",Import,18148.93228,439.82,Weight in kilograms,439.82
Singapore,2014,"Silk yarn retail, silk worm gut",Export,15790.9772,406.4,Weight in kilograms,406.4
Singapore,2014,Woven fabric of noil silk,Import,1546727.789,15382.64081,Weight in kilograms,15382.64081
Singapore,2014,Woven fabric of noil silk,Export,1681041.401,12060.00952,Weight in kilograms,12060.00952
Singapore,2014,Woven fabric >85% silk (except noil silk),Import,5338486.083,41091.55508,Weight in kilograms,41091.55508
Singapore,2014,Woven fabric >85% silk (except noil silk),Export,2527765.332,10783.28943,Weight in kilograms,10783.28943
Singapore,2014,"Woven fabric of silk, nes",Import,1854082.982,14122.19469,Weight in kilograms,14122.19469
Singapore,2014,"Woven fabric of silk, nes",Export,1031232.857,5039.37981,Weight in kilograms,5039.37981
Singapore,2013,Silk-worm cocoons suitable for reeling,Import,69656.02133,1079,Weight in kilograms,1079
Singapore,2013,Silk-worm cocoons suitable for reeling,Export,9277.526387,28.8,Weight in kilograms,28.8
Singapore,2013,Raw silk (not thrown),Import,38918.09025,211.61,Weight in kilograms,211.61
Singapore,2013,Raw silk (not thrown),Export,11431.89427,420.46,Weight in kilograms,420.46
Singapore,2013,"Silk waste, carded or combed",Import,516.2546726,72.5,Weight in kilograms,72.5
Singapore,2013,"Silk waste, carded or combed",Export,51682.45449,771,Weight in kilograms,771
Singapore,2013,Silk yarn (except from waste) not retail,Import,108210.4957,3975.55,Weight in kilograms,3975.55
Singapore,2013,Silk yarn (except from waste) not retail,Export,97324.5281,5112.3,Weight in kilograms,5112.3
Singapore,2013,"Silk yarn retail, silk worm gut",Import,41888.55251,45618.78,Weight in kilograms,45618.78
Singapore,2013,"Silk yarn retail, silk worm gut",Export,6383.992963,115.5176363,Weight in kilograms,115.5176363
Singapore,2013,Woven fabric of noil silk,Import,1203758.053,11377.74288,Weight in kilograms,11377.74288
Singapore,2013,Woven fabric of noil silk,Export,1475439.942,10076.58624,Weight in kilograms,10076.58624
Singapore,2013,Woven fabric >85% silk (except noil silk),Import,3735861.755,29381.22559,Weight in kilograms,29381.22559
Singapore,2013,Woven fabric >85% silk (except noil silk),Export,3768660.672,16718.14349,Weight in kilograms,16718.14349
Singapore,2013,"Woven fabric of silk, nes",Import,3012838.295,23512.95519,Weight in kilograms,23512.95519
Singapore,2013,"Woven fabric of silk, nes",Export,1211920.635,6123.576484,Weight in kilograms,6123.576484
Singapore,2012,Silk-worm cocoons suitable for reeling,Import,15536.0547,2602.48,Weight in kilograms,2602.48
Singapore,2012,Silk-worm cocoons suitable for reeling,Export,106676.2283,4698.55,Weight in kilograms,4698.55
Singapore,2012,Raw silk (not thrown),Import,45908.8176,117,Weight in kilograms,117
Singapore,2012,Raw silk (not thrown),Export,14715.86658,248.48,Weight in kilograms,248.48
Singapore,2012,"Silk waste, carded or combed",Import,13234.7726,121,Weight in kilograms,121
Singapore,2012,"Silk waste, carded or combed",Export,69844.54854,9949,Weight in kilograms,9949
Singapore,2012,Silk yarn (except from waste) not retail,Import,89955.64513,4716.816932,No Quantity,0
Singapore,2012,Silk yarn (except from waste) not retail,Export,183989.5453,5675.178185,Weight in kilograms,5675.178185
Singapore,2012,"Silk yarn retail, silk worm gut",Import,58032.95753,1002.15,Weight in kilograms,1002.15
Singapore,2012,"Silk yarn retail, silk worm gut",Export,43129.67693,922,Weight in kilograms,922
Singapore,2012,Woven fabric of noil silk,Import,2021165.821,23676.27574,Weight in kilograms,23676.27574
Singapore,2012,Woven fabric of noil silk,Export,1094238.196,8996.032136,Weight in kilograms,8996.032136
Singapore,2012,Woven fabric >85% silk (except noil silk),Import,9439391.892,80827.02514,Weight in kilograms,80827.02514
Singapore,2012,Woven fabric >85% silk (except noil silk),Export,4089877.749,20145.50873,Weight in kilograms,20145.50873
Singapore,2012,"Woven fabric of silk, nes",Import,3255812.472,28979.38354,Weight in kilograms,28979.38354
Singapore,2012,"Woven fabric of silk, nes",Export,790705.9423,4281.649651,Weight in kilograms,4281.649651
Singapore,2011,Silk-worm cocoons suitable for reeling,Import,2276.640349,23.6,Weight in kilograms,23.6
Singapore,2011,Silk-worm cocoons suitable for reeling,Export,22374.91209,67,Weight in kilograms,67
Singapore,2011,Raw silk (not thrown),Import,8553.515245,240.3,Weight in kilograms,240.3
Singapore,2011,Raw silk (not thrown),Export,10112.26694,123.75,Weight in kilograms,123.75
Singapore,2011,"Silk waste, carded or combed",Import,8976.854171,432,Weight in kilograms,432
Singapore,2011,"Silk waste, carded or combed",Export,5727.977496,20000,Weight in kilograms,20000
Singapore,2011,Silk yarn (except from waste) not retail,Import,121694.0261,5891.73,Weight in kilograms,5891.73
Singapore,2011,Silk yarn (except from waste) not retail,Export,87049.34689,4749,Weight in kilograms,4749
Singapore,2011,"Yarn spun from silk waste, not retail",Import,136.0732261,5,Weight in kilograms,5
Singapore,2011,"Yarn spun from silk waste, not retail",Export,10978.62353,250,Weight in kilograms,250
Singapore,2011,"Silk yarn retail, silk worm gut",Import,44043.959,230.1,Weight in kilograms,230.1
Singapore,2011,"Silk yarn retail, silk worm gut",Export,11481.41267,87.93500739,Weight in kilograms,87.93500739
Singapore,2011,Woven fabric of noil silk,Import,967415.3858,10514.56752,Weight in kilograms,10514.56752
Singapore,2011,Woven fabric of noil silk,Export,145077.7367,1313.120849,Weight in kilograms,1313.120849
Singapore,2011,Woven fabric >85% silk (except noil silk),Import,12274094.64,105212.2407,Weight in kilograms,105212.2407
Singapore,2011,Woven fabric >85% silk (except noil silk),Export,5733418.279,28748.73644,Weight in kilograms,28748.73644
Singapore,2011,"Woven fabric of silk, nes",Import,3483284.403,30924.50392,Weight in kilograms,30924.50392
Singapore,2011,"Woven fabric of silk, nes",Export,1226627.288,7250.323618,Weight in kilograms,7250.323618
Singapore,2010,Silk-worm cocoons suitable for reeling,Import,5463.532008,775.01,Weight in kilograms,775.01
Singapore,2010,Silk-worm cocoons suitable for reeling,Export,10243.54832,216,Weight in kilograms,216
Singapore,2010,Raw silk (not thrown),Import,248092.82,21575.1,Weight in kilograms,21575.1
Singapore,2010,Raw silk (not thrown),Export,206529.4807,7784.08,Weight in kilograms,7784.08
Singapore,2010,"Silk waste, carded or combed",Import,4749.747988,413.3,Weight in kilograms,413.3
Singapore,2010,"Silk waste, carded or combed",Export,771.572865,25,Weight in kilograms,25
Singapore,2010,Silk yarn (except from waste) not retail,Import,113803.7562,4973.17,Weight in kilograms,4973.17
Singapore,2010,Silk yarn (except from waste) not retail,Export,115411.8691,5271,Weight in kilograms,5271
Singapore,2010,"Yarn spun from silk waste, not retail",Import,1257.199838,2,Weight in kilograms,2
Singapore,2010,"Silk yarn retail, silk worm gut",Import,90190.87018,1443.03,Weight in kilograms,1443.03
Singapore,2010,"Silk yarn retail, silk worm gut",Export,67648.56948,968.12,Weight in kilograms,968.12
Singapore,2010,Woven fabric of noil silk,Import,1632200.814,22072.74219,Weight in kilograms,22072.74219
Singapore,2010,Woven fabric of noil silk,Export,785264.9766,9593.988244,Weight in kilograms,9593.988244
Singapore,2010,Woven fabric >85% silk (except noil silk),Import,11568384.27,125998.5458,Weight in kilograms,125998.5458
Singapore,2010,Woven fabric >85% silk (except noil silk),Export,8491565.006,48686.81677,Weight in kilograms,48686.81677
Singapore,2010,"Woven fabric of silk, nes",Import,3160680.437,,Weight in kilograms,33541.75657
Singapore,2010,"Woven fabric of silk, nes",Export,1369271.417,9369.540841,Weight in kilograms,9369.540841
South Africa,2018,Silk-worm cocoons suitable for reeling,Import,3304.391028,258.53,Weight in kilograms,258.53
South Africa,2018,Silk-worm cocoons suitable for reeling,Export,372.6200892,71,Weight in kilograms,71
South Africa,2018,Raw silk (not thrown),Import,320.0353145,1.7,Weight in kilograms,1.7
South Africa,2018,Raw silk (not thrown),Export,1656.684458,476,Weight in kilograms,476
South Africa,2018,"Silk waste, carded or combed",Import,2177.930094,622.13,Weight in kilograms,622.13
South Africa,2018,"Silk waste, carded or combed",Export,392.3865324,600,Weight in kilograms,600
South Africa,2018,Silk yarn (except from waste) not retail,Import,412770.0358,6656.21,Weight in kilograms,6656.21
South Africa,2018,Silk yarn (except from waste) not retail,Export,1004.919941,450,Weight in kilograms,450
South Africa,2018,"Yarn spun from silk waste, not retail",Import,7553.044666,164.8,Weight in kilograms,164.8
South Africa,2018,"Yarn spun from silk waste, not retail",Export,7553.723666,327,Weight in kilograms,327
South Africa,2018,"Silk yarn retail, silk worm gut",Import,20561.62768,253.97,Weight in kilograms,253.97
South Africa,2018,Woven fabric of noil silk,Import,24104.57402,715.82,Weight in kilograms,715.82
South Africa,2018,Woven fabric of noil silk,Export,24924.88142,8297.833947,Weight in kilograms,8297.833947
South Africa,2018,Woven fabric >85% silk (except noil silk),Import,1269565.079,118395.52,Weight in kilograms,118395.52
South Africa,2018,Woven fabric >85% silk (except noil silk),Export,12279.4125,2265.4,Weight in kilograms,2265.4
South Africa,2018,"Woven fabric of silk, nes",Export,2900167.112,580768.9451,No Quantity,0
South Africa,2018,"Woven fabric of silk, nes",Import,931725.933,97151.14,Weight in kilograms,97151.14
South Africa,2017,Silk-worm cocoons suitable for reeling,Import,5370.210688,63.15,Weight in kilograms,63.15
South Africa,2017,Silk-worm cocoons suitable for reeling,Export,19925.11499,11438.75,Weight in kilograms,11438.75
South Africa,2017,Raw silk (not thrown),Import,1837.734377,19,Weight in kilograms,19
South Africa,2017,Raw silk (not thrown),Export,78.43942425,124.2702703,Weight in kilograms,124.2702703
South Africa,2017,"Silk waste, carded or combed",Export,44662.50743,12138.35,Weight in kilograms,12138.35
South Africa,2017,Silk yarn (except from waste) not retail,Import,212855.7737,4461,Weight in kilograms,4461
South Africa,2017,Silk yarn (except from waste) not retail,Export,269.4713235,19.75,Weight in kilograms,19.75
South Africa,2017,"Yarn spun from silk waste, not retail",Import,64.1026491,13,Weight in kilograms,13
South Africa,2017,"Yarn spun from silk waste, not retail",Export,40062.05396,1509.61,Weight in kilograms,1509.61
South Africa,2017,"Silk yarn retail, silk worm gut",Import,15891.52711,127.46,Weight in kilograms,127.46
South Africa,2017,"Silk yarn retail, silk worm gut",Export,8442.108714,1014.74,Weight in kilograms,1014.74
South Africa,2017,Woven fabric of noil silk,Import,42075.88297,585.05,Weight in kilograms,585.05
South Africa,2017,Woven fabric of noil silk,Export,53270.80264,10875.21,Weight in kilograms,10875.21
South Africa,2017,Woven fabric of noil silk,Re-Import,38.1313182,1,Weight in kilograms,1
South Africa,2017,Woven fabric >85% silk (except noil silk),Import,788817.025,83518,Weight in kilograms,83518
South Africa,2017,Woven fabric >85% silk (except noil silk),Export,27523.98113,569.21,Weight in kilograms,569.21
South Africa,2017,"Woven fabric of silk, nes",Export,2357344.521,512684.9274,No Quantity,0
South Africa,2017,"Woven fabric of silk, nes",Import,269581.8142,47338.56,Weight in kilograms,47338.56
South Africa,2016,Silk-worm cocoons suitable for reeling,Import,632,51,Weight in kilograms,51
South Africa,2016,Silk-worm cocoons suitable for reeling,Export,3127,453,Weight in kilograms,453
South Africa,2016,Raw silk (not thrown),Import,260,5,Weight in kilograms,5
South Africa,2016,Raw silk (not thrown),Export,679,276,Weight in kilograms,276
South Africa,2016,"Silk waste, carded or combed",Import,583,35,Weight in kilograms,35
South Africa,2016,"Silk waste, carded or combed",Export,1414,371,Weight in kilograms,371
South Africa,2016,Silk yarn (except from waste) not retail,Import,185774,5181,Weight in kilograms,5181
South Africa,2016,Silk yarn (except from waste) not retail,Export,1053,190,Weight in kilograms,190
South Africa,2016,"Yarn spun from silk waste, not retail",Import,74881,1335,Weight in kilograms,1335
South Africa,2016,"Silk yarn retail, silk worm gut",Import,19381,170,Weight in kilograms,170
South Africa,2016,"Silk yarn retail, silk worm gut",Export,1049,174,Weight in kilograms,174
South Africa,2016,Woven fabric of noil silk,Import,46581,1818,Weight in kilograms,1818
South Africa,2016,Woven fabric of noil silk,Export,35978,8552,Weight in kilograms,8552
South Africa,2016,Woven fabric >85% silk (except noil silk),Import,938353,129162,Weight in kilograms,129162
South Africa,2016,Woven fabric >85% silk (except noil silk),Export,19005,25782,Weight in kilograms,25782
South Africa,2016,"Woven fabric of silk, nes",Import,2394449,437814,Weight in kilograms,437814
South Africa,2016,"Woven fabric of silk, nes",Export,1944395,411201,Weight in kilograms,411201
South Africa,2015,Silk-worm cocoons suitable for reeling,Import,64433.02027,9493.15,Weight in kilograms,9493.15
South Africa,2015,Silk-worm cocoons suitable for reeling,Export,1434.538273,235.39,Weight in kilograms,235.39
South Africa,2015,Raw silk (not thrown),Import,3130.973512,62.98,Weight in kilograms,62.98
South Africa,2015,"Silk waste, carded or combed",Import,1528.701708,12.17,Weight in kilograms,12.17
South Africa,2015,"Silk waste, carded or combed",Export,14.61969858,1,Weight in kilograms,1
South Africa,2015,Silk yarn (except from waste) not retail,Import,207088.109,4663.8,Weight in kilograms,4663.8
South Africa,2015,Silk yarn (except from waste) not retail,Export,7441.033575,443,Weight in kilograms,443
South Africa,2015,"Yarn spun from silk waste, not retail",Import,117754.7552,1829.18,Weight in kilograms,1829.18
South Africa,2015,"Yarn spun from silk waste, not retail",Export,1416.067148,246,Weight in kilograms,246
South Africa,2015,"Silk yarn retail, silk worm gut",Import,28858.34179,3254.71,Weight in kilograms,3254.71
South Africa,2015,"Silk yarn retail, silk worm gut",Export,894.1596293,59.08,Weight in kilograms,59.08
South Africa,2015,Woven fabric of noil silk,Import,92792.5631,1014.64,Weight in kilograms,1014.64
South Africa,2015,Woven fabric of noil silk,Export,34193.66717,6844.331962,Weight in kilograms,6844.331962
South Africa,2015,Woven fabric >85% silk (except noil silk),Export,17922.96445,2351.297558,No Quantity,0
South Africa,2015,Woven fabric >85% silk (except noil silk),Import,1296463.08,140616.84,Weight in kilograms,140616.84
South Africa,2015,Woven fabric >85% silk (except noil silk),Re-Import,54.2343657,4.2,Weight in kilograms,4.2
South Africa,2015,"Woven fabric of silk, nes",Export,3055049.644,626604.2524,No Quantity,0
South Africa,2015,"Woven fabric of silk, nes",Import,2925268.458,768193.95,Weight in kilograms,768193.95
South Africa,2014,Silk-worm cocoons suitable for reeling,Import,16230.42082,227.22,Weight in kilograms,227.22
South Africa,2014,Silk-worm cocoons suitable for reeling,Export,4277.063427,615.5,Weight in kilograms,615.5
South Africa,2014,Raw silk (not thrown),Import,4716.348321,54.55,Weight in kilograms,54.55
South Africa,2014,Raw silk (not thrown),Export,1405.730083,1210.008295,Weight in kilograms,1210.008295
South Africa,2014,"Silk waste, carded or combed",Export,8693.953751,211.3,Weight in kilograms,211.3
South Africa,2014,Silk yarn (except from waste) not retail,Import,204072.8418,4683.41,Weight in kilograms,4683.41
South Africa,2014,Silk yarn (except from waste) not retail,Export,796.4053667,89,Weight in kilograms,89
South Africa,2014,"Yarn spun from silk waste, not retail",Import,75234.05507,1173.06,Weight in kilograms,1173.06
South Africa,2014,"Yarn spun from silk waste, not retail",Export,495.4735678,1566.501962,Weight in kilograms,1566.501962
South Africa,2014,"Silk yarn retail, silk worm gut",Import,29885.18968,539.06,Weight in kilograms,539.06
South Africa,2014,"Silk yarn retail, silk worm gut",Export,502.7504616,61,Weight in kilograms,61
South Africa,2014,Woven fabric of noil silk,Import,77220.0944,740,Weight in kilograms,740
South Africa,2014,Woven fabric of noil silk,Export,14553.41919,5289.29,Weight in kilograms,5289.29
South Africa,2014,Woven fabric of noil silk,Re-Import,2.7633774,1,Weight in kilograms,1
South Africa,2014,Woven fabric >85% silk (except noil silk),Import,1176557.761,118476.15,Weight in kilograms,118476.15
South Africa,2014,Woven fabric >85% silk (except noil silk),Export,124453.3068,27008.18,Weight in kilograms,27008.18
South Africa,2014,Woven fabric >85% silk (except noil silk),Re-Import,1767.179847,69.5,Weight in kilograms,69.5
South Africa,2014,"Woven fabric of silk, nes",Import,2130536.434,487618.06,Weight in kilograms,487618.06
South Africa,2014,"Woven fabric of silk, nes",Export,2419421.197,374853.6371,Weight in kilograms,374853.6371
South Africa,2013,Silk-worm cocoons suitable for reeling,Import,37562.7094,575.38,Weight in kilograms,575.38
South Africa,2013,Silk-worm cocoons suitable for reeling,Export,6986.993128,782.96,Weight in kilograms,782.96
South Africa,2013,Silk-worm cocoons suitable for reeling,Re-Import,81.7773319,77,Weight in kilograms,77
South Africa,2013,Raw silk (not thrown),Import,10066.47901,114.43,Weight in kilograms,114.43
South Africa,2013,Raw silk (not thrown),Export,18846.3625,5214,Weight in kilograms,5214
South Africa,2013,"Silk waste, carded or combed",Import,2075.280949,25,Weight in kilograms,25
South Africa,2013,"Silk waste, carded or combed",Export,2922.763248,198,Weight in kilograms,198
South Africa,2013,Silk yarn (except from waste) not retail,Import,220408.0247,3699.65,Weight in kilograms,3699.65
South Africa,2013,Silk yarn (except from waste) not retail,Export,17832.73765,3566,Weight in kilograms,3566
South Africa,2013,"Yarn spun from silk waste, not retail",Import,64840.41834,980.2,Weight in kilograms,980.2
South Africa,2013,"Yarn spun from silk waste, not retail",Export,2694.71836,285,Weight in kilograms,285
South Africa,2013,"Silk yarn retail, silk worm gut",Import,15963.86683,448.44,Weight in kilograms,448.44
South Africa,2013,"Silk yarn retail, silk worm gut",Export,8129.184369,1465.61,Weight in kilograms,1465.61
South Africa,2013,"Silk yarn retail, silk worm gut",Re-Import,502.7753178,32.18,Weight in kilograms,32.18
South Africa,2013,Woven fabric of noil silk,Import,63155.08069,6681.24,Weight in kilograms,6681.24
South Africa,2013,Woven fabric of noil silk,Export,25748.78338,4637.85,Weight in kilograms,4637.85
South Africa,2013,Woven fabric >85% silk (except noil silk),Import,1781561.824,129338.14,Weight in kilograms,129338.14
South Africa,2013,Woven fabric >85% silk (except noil silk),Export,94531.38669,9891.75,Weight in kilograms,9891.75
South Africa,2013,Woven fabric >85% silk (except noil silk),Re-Import,1915.763394,133.62,Weight in kilograms,133.62
South Africa,2013,"Woven fabric of silk, nes",Import,1824395.134,369212.94,Weight in kilograms,369212.94
South Africa,2013,"Woven fabric of silk, nes",Export,1955667.213,475857.28,Weight in kilograms,475857.28
South Africa,2013,"Woven fabric of silk, nes",Re-Import,190.9863005,31.04,Weight in kilograms,31.04
South Africa,2012,Silk-worm cocoons suitable for reeling,Import,44642.59343,696,Weight in kilograms,696
South Africa,2012,Silk-worm cocoons suitable for reeling,Export,2703.972214,890.88,Weight in kilograms,890.88
